ACCNUM,YEAR,HOUR,ROAD_CLASS,District,WardNum,ACCLOC,TRAFFCTL,VISIBILITY,RDSFCOND,ACCLASS,IMPACTYPE,INVAGE,INJURY,FATAL_NO,DRIVACT,DRIVCOND,PEDACT,PEDCOND,geometry
968074,2007,7,Major Arterial,North York,17,At Intersection,Traffic Signal,Clear,Dry,Non-Fatal Injury,Angle,70 to 74,None,,Driving Properly,Normal,,,"-79.37659, 43.769145"
964724,2007,7,Major Arterial,Scarborough,22,At Intersection,Traffic Signal,Clear,Dry,Non-Fatal Injury,Turning Movement,35 to 39,None,,Driving Properly,Normal,,,"-79.30789, 43.778745"
964724,2007,7,Major Arterial,Scarborough,22,At Intersection,Traffic Signal,Clear,Dry,Non-Fatal Injury,Turning Movement,unknown,None,,,,,,"-79.30789, 43.778745"
964724,2007,7,Major Arterial,Scarborough,22,At Intersection,Traffic Signal,Clear,Dry,Non-Fatal Injury,Turning Movement,35 to 39,Minor,,Driving Properly,Normal,,,"-79.30789, 43.778745"
968074,2007,7,Major Arterial,North York,17,At Intersection,Traffic Signal,Clear,Dry,Non-Fatal Injury,Angle,40 to 44,Minimal,,Driving Properly,Unknown,,,"-79.37659, 43.769145"
968074,2007,7,Major Arterial,North York,17,At Intersection,Traffic Signal,Clear,Dry,Non-Fatal Injury,Angle,unknown,None,,,,,,"-79.37659, 43.769145"
968074,2007,7,Major Arterial,North York,17,At Intersection,Traffic Signal,Clear,Dry,Non-Fatal Injury,Angle,35 to 39,Major,,Disobeyed Traffic Control,Unknown,,,"-79.37659, 43.769145"
939458,2006,7,Major Arterial,North York,6,,No Control,Rain,Wet,Fatal,Pedestrian Collisions,55 to 59,None,,Driving Properly,Normal,,,"-79.43409, 43.737345"
939458,2006,7,Major Arterial,North York,6,,No Control,Rain,Wet,Fatal,Pedestrian Collisions,unknown,,,,,,,"-79.43409, 43.737345"
939458,2006,7,Major Arterial,North York,6,,No Control,Rain,Wet,Fatal,Pedestrian Collisions,45 to 49,None,,Driving Properly,Normal,,,"-79.43409, 43.737345"
939458,2006,7,Major Arterial,North York,6,,No Control,Rain,Wet,Fatal,Pedestrian Collisions,65 to 69,Fatal,,,,"Crossing, no Traffic Control",Medical or Physical Disability,"-79.43409, 43.737345"
940622,2006,7,Major Arterial,North York,16,,Traffic Signal,Clear,Other,Non-Fatal Injury,Pedestrian Collisions,25 to 29,None,,Lost control,Normal,,,"-79.32769, 43.760645"
940622,2006,7,Major Arterial,North York,16,,Traffic Signal,Clear,Other,Non-Fatal Injury,Pedestrian Collisions,45 to 49,Major,,,,Other,Normal,"-79.32769, 43.760645"
950837,2007,7,Major Arterial,North York,15,,Traffic Signal,Clear,Dry,Non-Fatal Injury,Angle,unknown,,,,,,,"-79.38899, 43.747045"
950837,2007,7,Major Arterial,North York,15,,Traffic Signal,Clear,Dry,Non-Fatal Injury,Angle,25 to 29,None,,Disobeyed Traffic Control,Normal,,,"-79.38899, 43.747045"
950837,2007,7,Major Arterial,North York,15,,Traffic Signal,Clear,Dry,Non-Fatal Injury,Angle,50 to 54,Major,,Driving Properly,Normal,,,"-79.38899, 43.747045"
950847,2007,7,Major Arterial,Etobicoke York,7,,Stop Sign,Clear,Dry,Non-Fatal Injury,Pedestrian Collisions,35 to 39,None,,Failed to Yield Right of Way,Normal,,,"-79.53159, 43.715745"
950847,2007,7,Major Arterial,Etobicoke York,7,,Stop Sign,Clear,Dry,Non-Fatal Injury,Pedestrian Collisions,55 to 59,Major,,,,Crossing with right of way,Normal,"-79.53159, 43.715745"
932044,2006,7,Major Arterial,Scarborough,21,At Intersection,Stop Sign,Clear,Dry,Non-Fatal Injury,Cyclist Collisions,50 to 54,None,,Failed to Yield Right of Way,Normal,,,"-79.24459, 43.747145"
932044,2006,7,Major Arterial,Scarborough,21,At Intersection,Stop Sign,Clear,Dry,Non-Fatal Injury,Cyclist Collisions,10 to 14,Major,,,,,,"-79.24459, 43.747145"
932574,2006,7,Minor Arterial,North York,18,,No Control,Clear,Dry,Non-Fatal Injury,Pedestrian Collisions,40 to 44,None,,Improper Passing,Normal,,,"-79.40909, 43.788845"
932574,2006,7,Minor Arterial,North York,18,,No Control,Clear,Dry,Non-Fatal Injury,Pedestrian Collisions,75 to 79,Major,,,,"Crossing, no Traffic Control",Normal,"-79.40909, 43.788845"
985971,2007,7,Major Arterial,Scarborough,,,Traffic Signal,Clear,Dry,Non-Fatal Injury,Cyclist Collisions,25 to 29,None,,Failed to Yield Right of Way,Inattentive,,,"-79.28759, 43.727845"
1008571,2007,7,Major Arterial,Etobicoke York,3,At Intersection,Traffic Signal,Clear,Dry,Non-Fatal Injury,Pedestrian Collisions,unknown,,,,,,,"-79.53399, 43.594345"
1008571,2007,7,Major Arterial,Etobicoke York,3,At Intersection,Traffic Signal,Clear,Dry,Non-Fatal Injury,Pedestrian Collisions,40 to 44,None,,Driving Properly,Normal,,,"-79.53399, 43.594345"
985971,2007,7,Major Arterial,Scarborough,,,Traffic Signal,Clear,Dry,Non-Fatal Injury,Cyclist Collisions,50 to 54,Major,,,,,,"-79.28759, 43.727845"
981377,2007,7,Major Arterial,Etobicoke York,5,,No Control,Clear,Dry,Non-Fatal Injury,Pedestrian Collisions,20 to 24,None,,Driving Properly,Normal,,,"-79.50809, 43.684445"
981377,2007,7,Major Arterial,Etobicoke York,5,,No Control,Clear,Dry,Non-Fatal Injury,Pedestrian Collisions,80 to 84,Major,,,,"Crossing, no Traffic Control",Normal,"-79.50809, 43.684445"
1008571,2007,7,Major Arterial,Etobicoke York,3,At Intersection,Traffic Signal,Clear,Dry,Non-Fatal Injury,Pedestrian Collisions,20 to 24,Major,,,,Crossing marked crosswalk without ROW,Inattentive,"-79.53399, 43.594345"
1000446,2007,7,Major Arterial,Toronto and East York,19,,Stop Sign,Clear,Dry,Non-Fatal Injury,Cyclist Collisions,75 to 79,None,,Improper Turn,Normal,,,"-79.31259, 43.667245"
1000446,2007,7,Major Arterial,Toronto and East York,19,,Stop Sign,Clear,Dry,Non-Fatal Injury,Cyclist Collisions,25 to 29,Major,,,,,,"-79.31259, 43.667245"
985971,2007,7,Major Arterial,Scarborough,,,Traffic Signal,Clear,Dry,Non-Fatal Injury,Cyclist Collisions,unknown,,,,,,,"-79.28759, 43.727845"
1018105,2008,7,Major Arterial,Etobicoke York,7,,No Control,Snow,Loose Snow,Non-Fatal Injury,Pedestrian Collisions,unknown,None,,Failed to Yield Right of Way,Inattentive,,,"-79.54969, 43.750545"
1018105,2008,7,Major Arterial,Etobicoke York,7,,No Control,Snow,Loose Snow,Non-Fatal Injury,Pedestrian Collisions,40 to 44,Major,,,,On Sidewalk or Shoulder,Normal,"-79.54969, 43.750545"
1005351,2007,7,,Toronto and East York,14,,No Control,Clear,Dry,Non-Fatal Injury,SMV Other,unknown,,,,,,,"-79.33709, 43.700545"
1005351,2007,7,,Toronto and East York,14,,No Control,Clear,Dry,Non-Fatal Injury,SMV Other,30 to 34,Major,,,,,,"-79.33709, 43.700545"
1006590,2007,7,Major Arterial,Etobicoke York,3,At Intersection,Stop Sign,Strong wind,Wet,Non-Fatal Injury,Pedestrian Collisions,unknown,,,,,,,"-79.51519, 43.624645"
1006590,2007,7,Major Arterial,Etobicoke York,3,At Intersection,Stop Sign,Strong wind,Wet,Non-Fatal Injury,Pedestrian Collisions,50 to 54,None,,Driving Properly,Normal,,,"-79.51519, 43.624645"
1006590,2007,7,Major Arterial,Etobicoke York,3,At Intersection,Stop Sign,Strong wind,Wet,Non-Fatal Injury,Pedestrian Collisions,45 to 49,Major,,,,Crossing without right of way,Inattentive,"-79.51519, 43.624645"
1000871,2007,7,Major Arterial,Scarborough,21,At Intersection,Traffic Signal,Clear,Dry,Fatal,Pedestrian Collisions,35 to 39,None,,Failed to Yield Right of Way,Inattentive,,,"-79.29749, 43.752045"
1000871,2007,7,Major Arterial,Scarborough,21,At Intersection,Traffic Signal,Clear,Dry,Fatal,Pedestrian Collisions,45 to 49,Fatal,,,,Crossing with right of way,Normal,"-79.29749, 43.752045"
986950,2007,7,Major Arterial,North York,18,,Traffic Signal,Clear,Dry,Non-Fatal Injury,Sideswipe,unknown,None,,,,,,"-79.41599, 43.781645"
988595,2007,7,Major Arterial,Scarborough,,At Intersection,Traffic Signal,Clear,Dry,Non-Fatal Injury,Turning Movement,65 to 69,Major,,,,,,"-79.18619, 43.768445"
988595,2007,7,Major Arterial,Scarborough,,At Intersection,Traffic Signal,Clear,Dry,Non-Fatal Injury,Turning Movement,30 to 34,Minor,,Driving Properly,Normal,,,"-79.18619, 43.768445"
988595,2007,7,Major Arterial,Scarborough,,At Intersection,Traffic Signal,Clear,Dry,Non-Fatal Injury,Turning Movement,30 to 34,Minimal,,Improper Turn,Normal,,,"-79.18619, 43.768445"
986950,2007,7,Major Arterial,North York,18,,Traffic Signal,Clear,Dry,Non-Fatal Injury,Sideswipe,unknown,None,,,,,,"-79.41599, 43.781645"
986950,2007,7,Major Arterial,North York,18,,Traffic Signal,Clear,Dry,Non-Fatal Injury,Sideswipe,55 to 59,None,,,,,,"-79.41599, 43.781645"
986950,2007,7,Major Arterial,North York,18,,Traffic Signal,Clear,Dry,Non-Fatal Injury,Sideswipe,35 to 39,None,,,,,,"-79.41599, 43.781645"
986950,2007,7,Major Arterial,North York,18,,Traffic Signal,Clear,Dry,Non-Fatal Injury,Sideswipe,55 to 59,None,,,,,,"-79.41599, 43.781645"
986950,2007,7,Major Arterial,North York,18,,Traffic Signal,Clear,Dry,Non-Fatal Injury,Sideswipe,90 to 94,Major,,,,,,"-79.41599, 43.781645"
1040891,2008,7,Major Arterial,Toronto and East York,11,,Traffic Signal,Clear,Dry,Fatal,Pedestrian Collisions,unknown,,,,,,,"-79.39019, 43.671345"
1035924,2008,7,Minor Arterial,Scarborough,20,At Intersection,Stop Sign,Clear,Dry,Fatal,Pedestrian Collisions,unknown,,,,,,,"-79.24709, 43.719645"
1035924,2008,7,Minor Arterial,Scarborough,20,At Intersection,Stop Sign,Clear,Dry,Fatal,Pedestrian Collisions,35 to 39,None,,Improper Turn,Normal,,,"-79.24709, 43.719645"
1035924,2008,7,Minor Arterial,Scarborough,20,At Intersection,Stop Sign,Clear,Dry,Fatal,Pedestrian Collisions,50 to 54,Fatal,16,,,"Crossing, no Traffic Control",Normal,"-79.24709, 43.719645"
1036979,2008,7,Major Arterial,Scarborough,23,,No Control,Clear,Dry,Non-Fatal Injury,Sideswipe,unknown,,,,,,,"-79.25119, 43.836645"
1036979,2008,7,Major Arterial,Scarborough,23,,No Control,Clear,Dry,Non-Fatal Injury,Sideswipe,35 to 39,Major,,Driving Properly,Normal,,,"-79.25119, 43.836645"
1036979,2008,7,Major Arterial,Scarborough,23,,No Control,Clear,Dry,Non-Fatal Injury,Sideswipe,35 to 39,None,,Improper Lane Change,Inattentive,,,"-79.25119, 43.836645"
1061921,2008,7,Major Arterial,North York,6,,No Control,Rain,Wet,Non-Fatal Injury,Pedestrian Collisions,unknown,,,,,,,"-79.44049, 43.755145"
1061921,2008,7,Major Arterial,North York,6,,No Control,Rain,Wet,Non-Fatal Injury,Pedestrian Collisions,40 to 44,Major,,,,Running onto Roadway,Inattentive,"-79.44049, 43.755145"
1061921,2008,7,Major Arterial,North York,6,,No Control,Rain,Wet,Non-Fatal Injury,Pedestrian Collisions,55 to 59,None,,Driving Properly,Normal,,,"-79.44049, 43.755145"
1040891,2008,7,Major Arterial,Toronto and East York,11,,Traffic Signal,Clear,Dry,Fatal,Pedestrian Collisions,40 to 44,None,,Driving Properly,Normal,,,"-79.39019, 43.671345"
1040891,2008,7,Major Arterial,Toronto and East York,11,,Traffic Signal,Clear,Dry,Fatal,Pedestrian Collisions,70 to 74,Fatal,22,,,Crossing without right of way,Unknown,"-79.39019, 43.671345"
1053515,2008,7,Major Arterial,North York,,,No Control,Clear,Dry,Non-Fatal Injury,Rear End,30 to 34,None,,Driving Properly,Normal,,,"-79.40829, 43.704645"
1053515,2008,7,Major Arterial,North York,,,No Control,Clear,Dry,Non-Fatal Injury,Rear End,85 to 89,Major,,Following too Close,Medical or Physical Disability,,,"-79.40829, 43.704645"
1053515,2008,7,Major Arterial,North York,,,No Control,Clear,Dry,Non-Fatal Injury,Rear End,unknown,,,,,,,"-79.40829, 43.704645"
1057794,2008,7,Major Arterial,North York,,,No Control,Clear,Dry,Non-Fatal Injury,Approaching,65 to 69,Minimal,,Lost control,Medical or Physical Disability,,,"-79.33879, 43.809945"
1057794,2008,7,Major Arterial,North York,,,No Control,Clear,Dry,Non-Fatal Injury,Approaching,50 to 54,Major,,Driving Properly,Normal,,,"-79.33879, 43.809945"
1058466,2008,7,Major Arterial,Toronto and East York,9,,No Control,Clear,Dry,Non-Fatal Injury,Cyclist Collisions,30 to 34,None,,Other,Normal,,,"-79.43299, 43.680145"
1058466,2008,7,Major Arterial,Toronto and East York,9,,No Control,Clear,Dry,Non-Fatal Injury,Cyclist Collisions,45 to 49,Major,,,,,,"-79.43299, 43.680145"
1058686,2008,7,Major Arterial,North York,,At Intersection,Stop Sign,Clear,Dry,Non-Fatal Injury,Turning Movement,50 to 54,Major,,Improper Passing,Normal,,,"-79.44029, 43.697845"
1058686,2008,7,Major Arterial,North York,,At Intersection,Stop Sign,Clear,Dry,Non-Fatal Injury,Turning Movement,55 to 59,Minimal,,Improper Turn,Normal,,,"-79.44029, 43.697845"
1052865,2008,7,Major Arterial,Toronto and East York,10,,No Control,Clear,Dry,Non-Fatal Injury,Turning Movement,40 to 44,None,,Driving Properly,Normal,,,"-79.38799, 43.649745"
1052865,2008,7,Major Arterial,Toronto and East York,10,,No Control,Clear,Dry,Non-Fatal Injury,Turning Movement,65 to 69,Major,,Improper Turn,Inattentive,,,"-79.38799, 43.649745"
1052865,2008,7,Major Arterial,Toronto and East York,10,,No Control,Clear,Dry,Non-Fatal Injury,Turning Movement,unknown,,,,,,,"-79.38799, 43.649745"
1050560,2008,7,Major Arterial,Etobicoke York,,At Intersection,Traffic Signal,Clear,Dry,Non-Fatal Injury,Pedestrian Collisions,unknown,,,,,,,"-79.50819, 43.719045"
1050560,2008,7,Major Arterial,Etobicoke York,,At Intersection,Traffic Signal,Clear,Dry,Non-Fatal Injury,Pedestrian Collisions,55 to 59,None,,Failed to Yield Right of Way,Inattentive,,,"-79.50819, 43.719045"
1050560,2008,7,Major Arterial,Etobicoke York,,At Intersection,Traffic Signal,Clear,Dry,Non-Fatal Injury,Pedestrian Collisions,75 to 79,Major,,,,Crossing with right of way,Normal,"-79.50819, 43.719045"
1041888,2008,7,Major Arterial,Etobicoke York,5,At Intersection,Traffic Signal,Clear,Dry,Non-Fatal Injury,Rear End,25 to 29,Major,,Lost control,Normal,,,"-79.47149, 43.690945"
1041888,2008,7,Major Arterial,Etobicoke York,5,At Intersection,Traffic Signal,Clear,Dry,Non-Fatal Injury,Rear End,55 to 59,None,,Driving Properly,Normal,,,"-79.47149, 43.690945"
1041888,2008,7,Major Arterial,Etobicoke York,5,At Intersection,Traffic Signal,Clear,Dry,Non-Fatal Injury,Rear End,35 to 39,None,,Driving Properly,Normal,,,"-79.47149, 43.690945"
1070741,2008,7,Collector,Scarborough,23,,No Control,Clear,Dry,Non-Fatal Injury,Turning Movement,30 to 34,None,,Improper Turn,Inattentive,,,"-79.26099, 43.824845"
1070741,2008,7,Collector,Scarborough,23,,No Control,Clear,Dry,Non-Fatal Injury,Turning Movement,25 to 29,Major,,Driving Properly,Normal,,,"-79.26099, 43.824845"
1048611,2008,7,Major Arterial,Scarborough,,At Intersection,Traffic Signal,Clear,Dry,Non-Fatal Injury,Pedestrian Collisions,unknown,,,,,,,"-79.18689, 43.770645"
1048611,2008,7,Major Arterial,Scarborough,,At Intersection,Traffic Signal,Clear,Dry,Non-Fatal Injury,Pedestrian Collisions,40 to 44,None,,Improper Turn,Normal,,,"-79.18689, 43.770645"
1048611,2008,7,Major Arterial,Scarborough,,At Intersection,Traffic Signal,Clear,Dry,Non-Fatal Injury,Pedestrian Collisions,50 to 54,Major,,,,Crossing with right of way,Normal,"-79.18689, 43.770645"
1037905,2008,7,Major Arterial,Etobicoke York,2,At Intersection,Traffic Signal,Clear,Dry,Non-Fatal Injury,Angle,65 to 69,None,,Driving Properly,Normal,,,"-79.55089, 43.677145"
1037905,2008,7,Major Arterial,Etobicoke York,2,At Intersection,Traffic Signal,Clear,Dry,Non-Fatal Injury,Angle,45 to 49,None,,Disobeyed Traffic Control,Normal,,,"-79.55089, 43.677145"
1037905,2008,7,Major Arterial,Etobicoke York,2,At Intersection,Traffic Signal,Clear,Dry,Non-Fatal Injury,Angle,40 to 44,Minimal,,,,,,"-79.55089, 43.677145"
1037905,2008,7,Major Arterial,Etobicoke York,2,At Intersection,Traffic Signal,Clear,Dry,Non-Fatal Injury,Angle,30 to 34,Major,,Driving Properly,Normal,,,"-79.55089, 43.677145"
1086605,2009,7,Minor Arterial,Scarborough,23,At Intersection,No Control,Clear,Wet,Non-Fatal Injury,Angle,45 to 49,Major,,,,,,"-79.25519, 43.806645"
1086605,2009,7,Minor Arterial,Scarborough,23,At Intersection,No Control,Clear,Wet,Non-Fatal Injury,Angle,60 to 64,Minor,,Driving Properly,Normal,,,"-79.25519, 43.806645"
1086605,2009,7,Minor Arterial,Scarborough,23,At Intersection,No Control,Clear,Wet,Non-Fatal Injury,Angle,35 to 39,Minor,,Lost control,Normal,,,"-79.25519, 43.806645"
1124210,2009,7,Major Arterial,North York,,At Intersection,Traffic Signal,Clear,Dry,Non-Fatal Injury,SMV Other,55 to 59,Major,,Lost control,Normal,,,"-79.40589, 43.740345"
1127178,2009,7,Major Arterial,Scarborough,21,At Intersection,Traffic Signal,Rain,Wet,Non-Fatal Injury,Turning Movement,50 to 54,None,,Lost control,Unknown,,,"-79.26129, 43.770045"
1127178,2009,7,Major Arterial,Scarborough,21,At Intersection,Traffic Signal,Rain,Wet,Non-Fatal Injury,Turning Movement,40 to 44,Major,,Driving Properly,Normal,,,"-79.26129, 43.770045"
1074035,2008,7,Major Arterial,Etobicoke York,1,,No Control,Clear,Wet,Non-Fatal Injury,Pedestrian Collisions,unknown,,,,,,,"-79.61029, 43.749345"
1074035,2008,7,Major Arterial,Etobicoke York,1,,No Control,Clear,Wet,Non-Fatal Injury,Pedestrian Collisions,55 to 59,None,,Driving Properly,Normal,,,"-79.61029, 43.749345"
1074035,2008,7,Major Arterial,Etobicoke York,1,,No Control,Clear,Wet,Non-Fatal Injury,Pedestrian Collisions,unknown,,,,,,,"-79.61029, 43.749345"
1074035,2008,7,Major Arterial,Etobicoke York,1,,No Control,Clear,Wet,Non-Fatal Injury,Pedestrian Collisions,15 to 19,Major,,,,"Crossing, no Traffic Control",Normal,"-79.61029, 43.749345"
1079597,2008,7,Major Arterial,North York,6,,No Control,Clear,Wet,Non-Fatal Injury,Pedestrian Collisions,50 to 54,None,,Driving Properly,Normal,,,"-79.49679, 43.723345"
1079597,2008,7,Major Arterial,North York,6,,No Control,Clear,Wet,Non-Fatal Injury,Pedestrian Collisions,40 to 44,Major,,,,Running onto Roadway,Normal,"-79.49679, 43.723345"
1122274,2009,7,Major Arterial,Etobicoke York,1,,No Control,Clear,Dry,Non-Fatal Injury,Approaching,unknown,,,,,,,"-79.58039, 43.712245"
1122274,2009,7,Major Arterial,Etobicoke York,1,,No Control,Clear,Dry,Non-Fatal Injury,Approaching,30 to 34,Minor,,Driving Properly,Normal,,,"-79.58039, 43.712245"
1122274,2009,7,Major Arterial,Etobicoke York,1,,No Control,Clear,Dry,Non-Fatal Injury,Approaching,unknown,,,,,,,"-79.58039, 43.712245"
1122274,2009,7,Major Arterial,Etobicoke York,1,,No Control,Clear,Dry,Non-Fatal Injury,Approaching,40 to 44,Major,,Other,Inattentive,,,"-79.58039, 43.712245"
1122576,2009,7,Minor Arterial,Toronto and East York,10,At Intersection,Traffic Signal,Clear,Dry,Non-Fatal Injury,Angle,unknown,,,,,,,"-79.38919, 43.645245"
1122576,2009,7,Minor Arterial,Toronto and East York,10,At Intersection,Traffic Signal,Clear,Dry,Non-Fatal Injury,Angle,35 to 39,Minimal,,Disobeyed Traffic Control,Inattentive,,,"-79.38919, 43.645245"
1122576,2009,7,Minor Arterial,Toronto and East York,10,At Intersection,Traffic Signal,Clear,Dry,Non-Fatal Injury,Angle,unknown,,,,,,,"-79.38919, 43.645245"
1122576,2009,7,Minor Arterial,Toronto and East York,10,At Intersection,Traffic Signal,Clear,Dry,Non-Fatal Injury,Angle,30 to 34,Major,,Driving Properly,Normal,,,"-79.38919, 43.645245"
1122739,2009,7,Major Arterial,Toronto and East York,19,At Intersection,Traffic Signal,Clear,Dry,Non-Fatal Injury,SMV Other,25 to 29,Major,,Exceeding Speed Limit,"Ability Impaired, Alcohol",,,"-79.31259, 43.667245"
